time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk
00:00:00	0	527	16	0	511	0	0	0	0	527	16	0	511
00:05:00	300	79	15	0	575	0	0	0	0	79	15	0	575
00:10:00	600	77	25	0	627	2	0	0	2	75	25	0	625
00:15:00	900	46	21	0	652	2	0	0	4	44	21	0	648
00:20:00	1200	42	24	0	670	2	0	0	6	40	24	0	664
00:25:00	1500	33	27	0	676	5	0	0	11	28	27	0	665
00:30:00	1800	23	32	0	667	2	0	0	13	21	32	0	654
00:35:00	2100	8	22	0	653	0	0	0	13	8	22	0	640
00:40:00	2400	10	33	0	630	1	0	0	14	9	33	0	616
00:45:00	2700	11	19	0	622	0	0	0	14	11	19	0	608
00:50:00	3000	12	19	0	615	0	0	0	14	12	19	0	601
00:55:00	3300	6	23	0	598	0	0	0	14	6	23	0	584
01:00:00	3600	6	24	0	580	0	0	0	14	6	24	0	566
01:05:00	3900	3	19	0	564	1	0	0	15	2	19	0	549
01:10:00	4200	3	23	0	544	0	0	0	15	3	23	0	529
01:15:00	4500	5	22	0	527	0	0	0	15	5	22	0	512
01:20:00	4800	6	19	0	514	0	0	0	15	6	19	0	499
01:25:00	5100	3	24	0	493	0	0	0	15	3	24	0	478
01:30:00	5400	8	17	0	484	0	0	0	15	8	17	0	469
01:35:00	5700	5	22	0	467	0	0	0	15	5	22	0	452
01:40:00	6000	1	18	0	450	0	0	0	15	1	18	0	435
01:45:00	6300	1	14	0	437	0	0	0	15	1	14	0	422
01:50:00	6600	4	12	0	429	0	0	0	15	4	12	0	414
01:55:00	6900	0	12	0	417	0	0	0	15	0	12	0	402
02:00:00	7200	0	11	0	406	0	0	0	15	0	11	0	391
02:05:00	7500	3	16	0	393	1	0	0	16	2	16	0	377
02:10:00	7800	1	14	0	380	1	0	0	17	0	14	0	363
02:15:00	8100	1	16	0	365	0	0	0	17	1	16	0	348
02:20:00	8400	0	11	0	354	0	0	0	17	0	11	0	337
02:25:00	8700	0	8	0	346	0	0	0	17	0	8	0	329
02:30:00	9000	1	8	0	339	1	0	0	18	0	8	0	321
02:35:00	9300	2	8	0	333	0	0	0	18	2	8	0	315
02:40:00	9600	1	16	0	318	0	0	0	18	1	16	0	300
02:45:00	9900	0	6	0	312	0	0	0	18	0	6	0	294
02:50:00	10200	2	14	0	300	0	0	0	18	2	14	0	282
02:55:00	10500	1	10	0	291	0	0	0	18	1	10	0	273
03:00:00	10800	0	6	0	285	0	0	0	18	0	6	0	267
03:05:00	11100	0	8	0	277	0	0	0	18	0	8	0	259
03:10:00	11400	0	5	0	272	0	0	0	18	0	5	0	254
