pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	350	457	864	989	1065	972	985	751	720	598	452	526	2851
e---h	1319	960	1452	1539	1772	1720	1602	1353	1235	1146	942	906	6232
e---pt interaction	54369	23859	4601	3449	2851	1816	1720	1443	1066	733	485	446	3325
e---s	252	223	375	415	470	418	448	329	312	283	223	227	1380
e---w	693	791	1568	1655	1768	1680	1688	1300	1282	1031	780	828	4947
h---e	618	879	1931	2394	2639	2765	2670	2094	2213	1678	1436	1471	10075
h---h	558	1886	3277	3106	3013	2682	2410	1730	2018	1378	1314	1232	8657
h---pt interaction	98404	49253	5471	5970	5789	4573	4092	3838	2499	2010	1439	1416	11474
h---s	301	328	573	653	755	709	729	614	646	532	463	413	3131
h---w	1022	1389	2873	3377	3990	4053	3910	3059	3313	2448	2260	2148	15248
pt interaction---e	47939	21846	6543	4819	3554	2247	2024	1527	1209	726	611	524	3938
pt interaction---h	84845	42665	6791	7482	7220	5825	5095	4305	3188	2200	1920	1791	12700
pt interaction---pt interaction	352081	283606	209147	143334	78559	35352	15094	6498	2613	1024	332	90	71
pt interaction---s	42595	18934	5114	3690	2783	1813	1642	1149	921	668	495	439	3504
pt interaction---w	100855	44374	12881	9469	7167	4554	4061	3062	2282	1520	1208	982	8039
s---e	51	67	140	149	225	177	192	134	134	100	82	78	471
s---h	2010	1231	1594	1681	1776	1759	1698	1467	1433	1177	1026	978	7080
s---pt interaction	43661	17154	3443	2441	1948	1392	1256	957	784	549	358	313	2036
s---s	176	186	480	430	513	493	516	399	406	324	241	271	1566
s---w	175	257	574	547	636	598	641	448	454	406	287	282	1708
w---e	439	592	1181	1355	1468	1356	1353	1021	1021	786	608	683	3887
w---h	3451	2259	3266	3571	3715	3696	3489	3077	3005	2438	2298	2086	14504
w---pt interaction	110099	45242	8907	6549	5505	3590	3293	2740	2024	1369	916	811	6093
w---s	425	429	863	965	1054	1042	960	711	762	657	485	482	3089
w---w	1095	1316	2481	2798	3079	2924	2786	2091	2096	1728	1388	1382	8146

average trip duration: 1081.4123368847559 seconds = 00:18:01
