Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:38:46	16:38:46	16:38:46			16:38:46	16:38:46	16:38:46	16:38:46	16:38:46	16:38:46	16:38:46	16:38:54	16:38:54	16:38:54	16:38:54	16:38:54	16:38:54			16:39:03	16:39:03		00:00:00		00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:08	00:00:16
1	16:39:03	16:39:03	16:39:03	16:39:03	16:39:03	16:39:03	16:39:03	16:39:03	16:39:03	16:39:03	16:39:05	16:39:05	16:39:10	16:39:10	16:39:10	16:39:10	16:39:10	16:39:10			16:39:11	16:39:11		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:04	00:00:00	00:00:00		00:00:01	00:00:07
2	16:39:11	16:39:11	16:39:11	16:39:11	16:39:11	16:39:11			16:39:11	16:39:11	16:39:11	16:39:11	16:39:17	16:39:17	16:39:17	16:39:17	16:39:17	16:39:17			16:39:18	16:39:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
3	16:39:18	16:39:18	16:39:18	16:39:18	16:39:18	16:39:18			16:39:18	16:39:18	16:39:18	16:39:18	16:39:22	16:39:22	16:39:22	16:39:22	16:39:22	16:39:22			16:39:23	16:39:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
4	16:39:23	16:39:23	16:39:23	16:39:23	16:39:23	16:39:23			16:39:23	16:39:23	16:39:23	16:39:23	16:39:28	16:39:28	16:39:28	16:39:28	16:39:28	16:39:28			16:39:29	16:39:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
5	16:39:29	16:39:29	16:39:29	16:39:29	16:39:29	16:39:29			16:39:29	16:39:29	16:39:29	16:39:29	16:39:34	16:39:34	16:39:34	16:39:34	16:39:34	16:39:34			16:39:36	16:39:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
6	16:39:36	16:39:36	16:39:36	16:39:36	16:39:36	16:39:36			16:39:36	16:39:36	16:39:36	16:39:36	16:39:40	16:39:40	16:39:40	16:39:40	16:39:40	16:39:40			16:39:43	16:39:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
7	16:39:43	16:39:43	16:39:43	16:39:43	16:39:43	16:39:43			16:39:43	16:39:43	16:39:43	16:39:43	16:39:48	16:39:48	16:39:48	16:39:48	16:39:48	16:39:48			16:39:50	16:39:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
8	16:39:50	16:39:50	16:39:50	16:39:50	16:39:50	16:39:50			16:39:50	16:39:50	16:39:51	16:39:51	16:39:55	16:39:55	16:39:55	16:39:55	16:39:55	16:39:55			16:39:56	16:39:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
9	16:39:56	16:39:56	16:39:57	16:39:57	16:39:57	16:39:57			16:39:57	16:39:57	16:39:57	16:39:57	16:40:02	16:40:02	16:40:02	16:40:02	16:40:02	16:40:02			16:40:04	16:40:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:07
10	16:40:04	16:40:04	16:40:04	16:40:04	16:40:04	16:40:04			16:40:04	16:40:04	16:40:04	16:40:04	16:40:08	16:40:08	16:40:08	16:40:08	16:40:08	16:40:08	16:40:08	16:40:08	16:40:13	16:40:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04	00:00:08
11	16:40:13	16:40:13	16:40:13	16:40:13	16:40:13	16:40:13			16:40:13	16:40:13	16:40:13	16:40:13	16:40:17	16:40:17	16:40:17	16:40:17	16:40:17	16:40:17			16:40:19	16:40:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
12	16:40:19	16:40:19	16:40:19	16:40:19	16:40:19	16:40:19			16:40:19	16:40:19	16:40:19	16:40:19	16:40:24	16:40:24	16:40:24	16:40:24	16:40:24	16:40:24			16:40:26	16:40:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:07
13	16:40:26	16:40:26	16:40:26	16:40:26	16:40:26	16:40:26			16:40:26	16:40:26	16:40:26	16:40:26	16:40:31	16:40:31	16:40:31	16:40:31	16:40:31	16:40:31			16:40:33	16:40:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
