# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
0	para_0_1	PROSPECTING	0_0	CreateNewPlan	none	5	0	-825.1941250122583	-824.1941250122583	01:00:00	09:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
0	para_0_1	PROSPECTING	=====	=====	=====	5	0	-825.1941250122583	-824.1941250122583	=====	=====	=====	=====
0	para_0_2	PROSPECTING	0_0	CreateNewPlan	none	5	0	-778.3967034034897	-777.3967034034897	11:00:00	15:15:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
0	para_0_2	PROSPECTING	=====	=====	=====	5	0	-778.3967034034897	-777.3967034034897	=====	=====	=====	=====
0	para_0_3	PROSPECTING	0_0	CreateNewPlan	none	5	0	-557.6983493767799	-556.6983493767799	21:15:00	22:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
0	para_0_3	PROSPECTING	=====	=====	=====	5	0	-557.6983493767799	-556.6983493767799	=====	=====	=====	=====
0	para_0_4	PROSPECTING	0_0	CreateNewPlan	none	5	0	-555.0233493767798	-554.0233493767798	18:30:00	20:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
0	para_0_4	PROSPECTING	=====	=====	=====	5	0	-555.0233493767798	-554.0233493767798	=====	=====	=====	=====
0	para_0_5	PROSPECTING	0_0	CreateNewPlan	none	5	0	-748.5921753092183	-747.5921753092183	10:00:00	13:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
0	para_0_5	PROSPECTING	=====	=====	=====	5	0	-748.5921753092183	-747.5921753092183	=====	=====	=====	=====
0	para_0_6	PROSPECTING	0_0	CreateNewPlan	none	5	0	-536.9695394877898	-535.9695394877898	21:30:00	22:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
0	para_0_6	PROSPECTING	=====	=====	=====	5	0	-536.9695394877898	-535.9695394877898	=====	=====	=====	=====
0	para_0_7	PROSPECTING	0_0	CreateNewPlan	none	5	0	-1325.027452819347	-1324.027452819347	02:00:00	19:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
0	para_0_7	PROSPECTING	=====	=====	=====	5	0	-1325.027452819347	-1324.027452819347	=====	=====	=====	=====
0	para_0_8	PROSPECTING	0_0	CreateNewPlan	none	5	0	-802.4231398140524	-801.4231398140524	08:15:00	13:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
0	para_0_8	PROSPECTING	=====	=====	=====	5	0	-802.4231398140524	-801.4231398140524	=====	=====	=====	=====
0	para_0_9	PROSPECTING	0_0	CreateNewPlan	none	5	0	-601.7177938212237	-600.7177938212237	09:15:00	10:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
0	para_0_9	PROSPECTING	=====	=====	=====	5	0	-601.7177938212237	-600.7177938212237	=====	=====	=====	=====
0	para_0_10	PROSPECTING	0_0	CreateNewPlan	none	5	0	-921.5500895170886	-920.5500895170886	13:00:00	23:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
0	para_0_10	PROSPECTING	=====	=====	=====	5	0	-921.5500895170886	-920.5500895170886	=====	=====	=====	=====
1	para_0_1	PROSPECTING	0_0	CreateNewPlan	none	3	0	-474.25320067684163	-298.4473256890999	01:00:00	09:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
1	para_0_1	PROSPECTING	=====	=====	=====	3	0	-474.25320067684163	-298.4473256890999	=====	=====	=====	=====
1	para_0_2	PROSPECTING	0_0	CreateNewPlan	none	3	0	-355.9032009689521	-133.2999043724418	11:00:00	15:15:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
1	para_0_2	PROSPECTING	=====	=====	=====	3	0	-355.9032009689521	-133.2999043724418	=====	=====	=====	=====
