Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	01:35:19	01:35:19	01:35:19			01:35:19	01:35:19	01:35:19	01:35:19	01:35:19	01:35:19	01:35:19	01:35:27	01:35:27	01:35:27	01:35:27	01:35:27	01:35:27			01:35:38	01:35:38		00:00:00		00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:11	00:00:18
1	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:38	01:35:43	01:35:43	01:35:43	01:35:43	01:35:43	01:35:43			01:35:44	01:35:44		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
2	01:35:44	01:35:44	01:35:44	01:35:44	01:35:44	01:35:44			01:35:44	01:35:44	01:35:44	01:35:44	01:35:49	01:35:49	01:35:49	01:35:49	01:35:49	01:35:49			01:35:51	01:35:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
3	01:35:51	01:35:51	01:35:51	01:35:51	01:35:51	01:35:51			01:35:51	01:35:51	01:35:51	01:35:51	01:35:55	01:35:55	01:35:55	01:35:55	01:35:55	01:35:55			01:35:56	01:35:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
4	01:35:56	01:35:56	01:35:56	01:35:56	01:35:56	01:35:56			01:35:56	01:35:56	01:35:56	01:35:56	01:36:01	01:36:01	01:36:01	01:36:01	01:36:01	01:36:01			01:36:02	01:36:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
5	01:36:02	01:36:02	01:36:02	01:36:02	01:36:02	01:36:02			01:36:02	01:36:02	01:36:02	01:36:02	01:36:07	01:36:07	01:36:07	01:36:07	01:36:07	01:36:07			01:36:09	01:36:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
6	01:36:09	01:36:09	01:36:09	01:36:09	01:36:09	01:36:09			01:36:09	01:36:09	01:36:09	01:36:09	01:36:13	01:36:13	01:36:13	01:36:13	01:36:13	01:36:13			01:36:17	01:36:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:08
7	01:36:17	01:36:17	01:36:17	01:36:17	01:36:17	01:36:17			01:36:17	01:36:17	01:36:18	01:36:18	01:36:22	01:36:22	01:36:22	01:36:22	01:36:22	01:36:22			01:36:25	01:36:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
8	01:36:25	01:36:25	01:36:25	01:36:25	01:36:25	01:36:25			01:36:25	01:36:25	01:36:25	01:36:25	01:36:29	01:36:29	01:36:29	01:36:29	01:36:29	01:36:29			01:36:31	01:36:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
9	01:36:31	01:36:31	01:36:31	01:36:31	01:36:31	01:36:31			01:36:31	01:36:31	01:36:31	01:36:31	01:36:36	01:36:36	01:36:36	01:36:36	01:36:36	01:36:36			01:36:37	01:36:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
10	01:36:37	01:36:37	01:36:37	01:36:37	01:36:37	01:36:37			01:36:37	01:36:37	01:36:37	01:36:37	01:36:42	01:36:42	01:36:42	01:36:42	01:36:42	01:36:42	01:36:42	01:36:42	01:36:46	01:36:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04	00:00:09
11	01:36:46	01:36:46	01:36:46	01:36:46	01:36:46	01:36:46			01:36:46	01:36:46	01:36:46	01:36:46	01:36:50	01:36:50	01:36:50	01:36:50	01:36:50	01:36:50			01:36:52	01:36:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
12	01:36:52	01:36:52	01:36:52	01:36:52	01:36:52	01:36:52			01:36:52	01:36:52	01:36:52	01:36:52	01:36:57	01:36:57	01:36:57	01:36:57	01:36:57	01:36:57			01:36:59	01:36:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
13	01:36:59	01:36:59	01:36:59	01:36:59	01:36:59	01:36:59			01:36:59	01:36:59	01:36:59	01:36:59	01:37:04	01:37:04	01:37:04	01:37:04	01:37:04	01:37:04			01:37:05	01:37:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
14	01:37:06	01:37:06	01:37:06	01:37:06	01:37:06	01:37:06			01:37:06	01:37:06	01:37:06	01:37:06	01:37:10	01:37:10	01:37:10	01:37:10	01:37:10	01:37:10			01:37:12	01:37:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
15	01:37:12	01:37:12	01:37:12	01:37:12	01:37:12	01:37:12			01:37:12	01:37:12	01:37:12	01:37:12	01:37:17	01:37:17	01:37:17	01:37:17	01:37:17	01:37:17			01:37:18	01:37:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
16	01:37:19	01:37:19	01:37:19	01:37:19	01:37:19	01:37:19			01:37:19	01:37:19	01:37:19	01:37:19	01:37:24	01:37:24	01:37:24	01:37:24	01:37:24	01:37:24			01:37:25	01:37:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
17	01:37:25	01:37:25	01:37:25	01:37:25	01:37:25	01:37:25			01:37:25	01:37:25	01:37:26	01:37:26	01:37:30	01:37:30	01:37:30	01:37:30	01:37:30	01:37:30			01:37:32	01:37:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
