pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e---e	35	43	83	119	118	95	89	79	62	62	60	46	420
e---h	159	104	126	159	181	158	136	135	135	116	103	103	835
e---pt interaction	5278	2290	454	294	329	150	114	69	43	44	29	27	160
e---s	32	17	32	43	37	37	43	39	31	27	25	32	214
e---w	72	82	142	157	154	161	182	122	139	98	81	93	755
h---e	55	90	171	219	277	227	240	192	245	154	153	146	1329
h---h	81	172	324	284	267	284	255	208	208	126	127	128	1041
h---pt interaction	9872	4827	580	646	653	393	305	229	127	131	86	86	563
h---s	36	30	55	59	74	64	64	60	76	51	53	50	448
h---w	115	144	281	347	372	392	380	302	314	209	247	233	2051
pt interaction---e	4738	2155	694	459	390	200	118	82	50	41	38	24	185
pt interaction---h	8582	4166	799	756	782	474	360	291	137	119	102	106	631
pt interaction---pt interaction	43626	31512	21044	9505	3081	727	361	115	60	48	73	35	262
pt interaction---s	4219	1894	485	380	295	147	103	62	29	40	34	27	162
pt interaction---w	9983	4268	1241	924	761	411	243	154	78	86	70	50	399
s---e	5	6	18	16	27	17	24	10	14	12	14	17	71
s---h	215	129	158	155	184	166	161	135	152	113	106	103	974
s---pt interaction	4249	1666	321	254	210	91	69	40	26	26	32	19	83
s---s	22	9	51	36	41	53	46	53	45	34	33	40	252
s---w	27	27	61	60	59	51	50	55	46	38	28	26	279
w---e	35	69	114	122	137	133	109	95	108	78	68	83	560
w---h	346	232	310	336	353	333	333	320	304	217	249	193	2072
w---pt interaction	10730	4386	848	607	593	295	203	110	66	71	58	44	314
w---s	42	38	84	66	96	129	102	61	96	74	43	62	469
w---w	112	108	249	267	287	277	253	198	198	199	171	158	1209

average trip duration: 1085.6270824956043 seconds = 00:18:05
