ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	52.53038296434767	52.53038296434767	52.53038296434767	52.53038296434767
1	52.07044404905146	51.62674105120392	52.3592513085988	53.091761565993856
2	51.84107014787801	51.47850525208919	52.68233938995817	53.88617352782743
3	50.897016562592306	50.563150075396855	52.42672303330438	54.290295991212155
4	50.308144851989006	49.905188282873404	52.29321819774791	54.68124811262276
5	50.491747304816776	50.127225068050926	52.62182534447949	55.116425620908714
6	50.356047359173395	50.180898157133136	52.715225953392924	55.24955374965287
7	50.2140165215991	50.02115745582294	52.73221151666709	55.44326557751127
8	50.011103081125185	49.92300222936927	52.71711496057435	55.51122769177943
9	49.66755779655505	49.596903179602386	52.591130043962806	55.58535690832341
10	49.53518427606708	49.44699411092666	52.5588647091569	55.67073530738709
