Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	01:05:04	01:05:04	01:05:05			01:05:05	01:05:05	01:05:07	01:05:07	01:05:07	01:05:07	01:05:07	01:05:22	01:05:22	01:05:22	01:05:22	01:05:23	01:05:23			01:05:35	01:05:35		00:00:00		00:00:02	00:00:02	00:00:00	00:00:15	00:00:00	00:00:00		00:00:12	00:00:30
1	01:05:35	01:05:35	01:05:41	01:05:41	01:06:11	01:06:11	01:06:11	01:06:13	01:06:13	01:06:13	01:06:13	01:06:13	01:06:22	01:06:22	01:06:22	01:06:22	01:06:23	01:06:23			01:06:24	01:06:24		00:00:05	00:00:29	00:00:02	00:00:02	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:48
2	01:06:24	01:06:24	01:06:26	01:06:26	01:08:23	01:08:23			01:08:23	01:08:23	01:08:23	01:08:23	01:08:32	01:08:32	01:08:32	01:08:32	01:08:33	01:08:33			01:08:33	01:08:33		00:00:02	00:01:56		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:02:09
3	01:08:33	01:08:33	01:08:38	01:08:38	01:14:11	01:14:11			01:14:11	01:14:11	01:14:11	01:14:11	01:14:20	01:14:20	01:14:20	01:14:20	01:14:20	01:14:20			01:14:21	01:14:21		00:00:04	00:05:32		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:05:47
4	01:14:21	01:14:21	01:14:26	01:14:26	01:25:52	01:25:52			01:25:53	01:25:53	01:25:53	01:25:53	01:26:03	01:26:03	01:26:03	01:26:03	01:26:04	01:26:04			01:26:05	01:26:05		00:00:04	00:11:26		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:11:43
5	01:26:05	01:26:05	01:26:09	01:26:09	01:41:03	01:41:03			01:41:03	01:41:03	01:41:03	01:41:03	01:41:13	01:41:13	01:41:14	01:41:14	01:41:14	01:41:14			01:41:15	01:41:15		00:00:04	00:14:53		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:15:10
6	01:41:15	01:41:15	01:41:20	01:41:20	01:56:16	01:56:16			01:56:16	01:56:16	01:56:16	01:56:16	01:56:27	01:56:27	01:56:27	01:56:27	01:56:28	01:56:28			01:56:29	01:56:29		00:00:04	00:14:56		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:15:13
7	01:56:29	01:56:29	01:56:34	01:56:34	02:21:22	02:21:22			02:21:22	02:21:22	02:21:22	02:21:22	02:21:34	02:21:34	02:21:34	02:21:34	02:21:35	02:21:35			02:21:36	02:21:36		00:00:04	00:24:48		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:25:06
8	02:21:36	02:21:36	02:21:40	02:21:40	02:52:14	02:52:14			02:52:14	02:52:14	02:52:14	02:52:14	02:52:26	02:52:26	02:52:26	02:52:26	02:52:27	02:52:27			02:52:28	02:52:28		00:00:04	00:30:33		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:30:52
9	02:52:28	02:52:28	02:52:34	02:52:34	03:33:41	03:33:41			03:33:41	03:33:41	03:33:41	03:33:41	03:33:55	03:33:55	03:33:55	03:33:55	03:33:56	03:33:56			03:33:57	03:33:57		00:00:06	00:41:06		00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:01	00:41:28
10	03:33:57	03:33:57	03:34:03	03:34:03	04:20:22	04:20:22			04:20:22	04:20:22	04:20:22	04:20:22	04:20:37	04:20:37	04:20:38	04:20:38	04:20:38	04:20:38	04:20:38	04:20:38	04:20:42	04:20:42		00:00:06	00:46:18		00:00:00	00:00:00	00:00:15	00:00:00	00:00:00	00:00:00	00:00:03	00:46:44
